video_id,publish_hour,publish_day_of_week,publish_month,publish_is_weekend,hours_to_trending,channel_age_days_at_publish,duration_seconds,is_short,title_length_chars,title_word_count,title_has_capitalized_word,title_uppercase_ratio,title_exclamation_count,title_question_count,title_has_number,title_has_bracket,title_emoji_count,description_length_chars,description_word_count,description_has_url,description_url_count,description_line_count,has_description,tag_count,has_tags,video_category,video_definition_hd,video_licensed_content,trending_country,channel_country,channel_subscriber_count,channel_view_count,channel_video_count,channel_have_hidden_subscribers,channel_avg_views_per_video,channel_sub_to_view_ratio,channel_description_length,channel_has_custom_url,log_channel_subscriber_count,log_channel_view_count,log_channel_video_count,log_channel_avg_views_per_video,_target_view_count,_target_like_count,_target_comment_count,_target_engagement_rate
hDJ0wkUjte8,20,4,7,0,51.95027777777778,721.5287216446875,1967.0,0,34,6,1,0.5294117647058824,1,0,0,0,0,326,16,1,6,11,1,27,1,Gaming,1,1,Philippines,United States,10800000,3403015277,1006,0,3382718.963220676,0.0031736560435076766,57,1,16.195056784687036,21.94792772202313,6.914730892718563,15.034190666689728,664403,8142,873,0.013568572086519778
5R0X324Q2Gk,10,0,7,0,157.49833333333333,318.15473966711806,414.0,0,73,14,1,0.3972602739726027,0,0,0,0,0,4891,707,1,8,71,1,20,1,Music,1,1,Philippines,Philippines,30400,14884179,562,0,26484.304270462635,0.0020424371408056838,993,1,10.322230781590136,16.51580946189877,6.333279628139691,10.184345302319759,33762,142,19,0.0047686748415378235
SiZT8EucKFs,6,3,7,0,89.97527777777778,1411.0133421190162,912.0,0,72,13,1,0.6388888888888888,0,0,0,0,0,993,133,0,0,63,1,5,1,Gaming,1,1,Philippines,Philippines,321000,79003120,445,0,177535.1011235955,0.004063130671295007,28,1,12.679199517372098,18.184997915980055,6.100318952020064,12.08692925382916,58041,1140,44,0.020399372857118243
LN5-yKx674U,6,4,7,0,65.78861111111111,2575.049328703704,123.0,0,32,5,1,0.25,0,0,0,1,0,67,12,0,0,3,1,0,0,Music,1,1,Philippines,Philippines,393000,276238163,77,0,3587508.6103896103,0.0014226853948489369,38,1,12.881567435377423,19.436773964629484,4.356708826689592,15.092968817900672,27279,436,33,0.017192712342827817
AjfAZ6Kbga8,3,5,7,1,44.10305555555556,3305.8877199074072,892.0,0,24,2,1,0.625,8,0,0,0,0,146,15,1,1,2,1,2,1,Gaming,1,1,Philippines,United States,14600000,12661703998,2846,0,4448947.293745608,0.0011530833450463039,29,1,16.496532155171714,23.261847841682478,7.954021087278037,15.30817828772595,909718,43588,4525,0.05288781798315522
gqDVls0Lrxg,6,1,7,0,305.93611111111113,179.2194025783102,307.0,0,48,11,1,0.375,0,0,0,1,0,1207,145,1,6,35,1,0,0,Music,1,1,Philippines,Philippines,1460,1955270,176,0,11109.488636363636,0.0007466999442532233,771,1,7.2868764117507,14.486039360720719,5.176149732573829,9.315644863337404,142213,92,0,0.0006469169485208806
xwqSYW3Pyq8,13,6,7,1,10.995555555555555,1445.5497245081945,1321.0,0,58,11,1,0.46551724137931033,1,0,0,0,0,1093,153,0,0,5,1,28,1,Gaming,1,1,Philippines,United States,401000,159487574,713,0,223685.23702664796,0.0025143024622093758,452,1,12.901719200051183,18.887476577468316,6.570882962339584,12.317999621341665,199644,1204,38,0.006221073510849311
VseGmngM9wo,12,5,7,1,35.9975,1707.3068896601042,1052.0,0,41,9,1,0.3902439024390244,1,0,0,0,0,72,9,1,1,3,1,0,0,Gaming,1,1,Philippines,Canada,1030000,126207990,101,0,1249584.0594059406,0.008161131478284378,31,1,13.845070331079134,18.653441826193536,4.624972813284271,14.038322101694817,408350,7558,611,0.020004897759275133
sqYNGZJWNcw,10,4,7,0,229.9947222222222,910.3195990151389,177.0,0,35,3,1,0.22857142857142856,0,0,0,1,2,1909,212,1,9,64,1,0,0,Entertainment,1,0,Philippines,South Korea,852000,281874960,1066,0,264423.03939962474,0.003022616836912367,27,1,13.655342979519684,19.456974129862004,6.9726062513017535,12.485309303400111,753737,38059,6003,0.058458056324686196
64kI5BMIye0,22,2,7,0,97.99222222222222,2285.065585222616,1652.0,0,43,7,1,0.27906976744186046,2,0,0,0,0,903,94,1,7,27,1,5,1,Gaming,1,1,Philippines,United States,3330000,1074515073,1639,0,655591.8688224527,0.0030990723943060032,152,1,15.018483162256882,20.795135302799064,7.402451520818244,13.393295248462655,615013,10478,1878,0.020090632230538218
